
logging: COLLECTOR (5): modified: ==>(A. C. Sanders with Mark A. Elvin)	(A. C. Sanders)	(Mark A. Elvin)	UCSC008287
logging: COLLECTOR (5): modified: ==>(Anderson; Huxley, Jared)	(Anderson)	(Huxley, Jared)	UCSC008064
logging: COLLECTOR (5): modified: ==>(Barbara Ertter and David Thompson)	(Barbara Ertter)	(David Thompson)	UCSC003621
logging: COLLECTOR (5): modified: ==>(Barbara Ertter with David Thompson)	(Barbara Ertter)	(David Thompson)	UCSC003619
logging: COLLECTOR (5): modified: ==>(Barbara Ertter, Travis Columbus and Holly Forbes)	(Barbara Ertter)	(Holly Forbes)	UCSC003622
logging: COLLECTOR (5): modified: ==>(Becky Hendricks & Chris Lay)	(Becky Hendricks)	(Chris Lay)	UCSC007746
logging: COLLECTOR (5): modified: ==>(Becky Hendricks & Chris Lay)	(Becky Hendricks)	(Chris Lay)	UCSC007757
logging: COLLECTOR (5): modified: ==>(Becky Hendricks & Chris Lay)	(Becky Hendricks)	(Chris Lay)	UCSC007764
logging: COLLECTOR (5): modified: ==>(Becky Hendricks & Chris Lay)	(Becky Hendricks)	(Chris Lay)	UCSC007767
logging: COLLECTOR (5): modified: ==>(Becky Hendricks & Chris Lay)	(Becky Hendricks)	(Chris Lay)	UCSC007768
logging: COLLECTOR (5): modified: ==>(Becky Hendricks & Chris Lay)	(Becky Hendricks)	(Chris Lay)	UCSC007773
logging: COLLECTOR (5): modified: ==>(Becky Hendricks & Chris Lay)	(Becky Hendricks)	(Chris Lay)	UCSC007777
logging: COLLECTOR (5): modified: ==>(Becky Hendricks & Chris Lay)	(Becky Hendricks)	(Chris Lay)	UCSC007781
logging: COLLECTOR (5): modified: ==>(Becky Hendricks & Chris Lay)	(Becky Hendricks)	(Chris Lay)	UCSC007782
logging: COLLECTOR (5): modified: ==>(Becky Hendricks & Shayne Coppedge)	(Becky Hendricks)	(Shayne Coppedge)	UCSC007770
logging: COLLECTOR (5): modified: ==>(Becky Hendricks & Shayne Coppedge)	(Becky Hendricks)	(Shayne Coppedge)	UCSC007775
logging: COLLECTOR (5): modified: ==>(Becky Hendricks and Chris Lay)	(Becky Hendricks)	(Chris Lay)	UCSC007721
logging: COLLECTOR (5): modified: ==>(Becky Hendricks and Chris Lay)	(Becky Hendricks)	(Chris Lay)	UCSC007734
